metric,namespace,pod,value
kube_pod_completion_time,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752305
kube_pod_container_info,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_container_info,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_container_state_started,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752294
kube_pod_container_state_started,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752294
kube_pod_container_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_restarts_total,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_restarts_total,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_running,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_running,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_terminated,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_container_status_terminated,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_container_status_terminated_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_container_status_terminated_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_container_status_waiting,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_container_status_waiting,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_created,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752292
kube_pod_info,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_ips,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_info,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_info,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_resource_limits,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0.5
kube_pod_init_container_resource_limits,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,134217728
kube_pod_init_container_resource_requests,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0.1
kube_pod_init_container_resource_requests,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,134217728
kube_pod_init_container_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_status_restarts_total,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_init_container_status_restarts_total,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_init_container_status_running,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_init_container_status_running,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_init_container_status_terminated,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_status_terminated,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_status_terminated_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_status_terminated_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_init_container_status_waiting,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_init_container_status_waiting,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_owner,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_restart_policy,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_start_time,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752292
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_qos_class,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_qos_class,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_qos_class,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_initialized_time,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752294
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_scheduled,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_scheduled,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_scheduled,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_scheduled_time,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752292
kube_pod_tolerations,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_tolerations,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_service_account,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_scheduler,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
node_namespace_pod:kube_pod_info:,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
